offense,category
ARSON   ,Arson
ASLT1   ,Assault
ASLT2   ,Assault
ASLT3   ,Assault
ASLT4   ,Assault
AUTOTH  ,Theft
BIKETF  ,Theft
BURGB   ,Theft
BURGD   ,Theft
COINOP  ,Theft
COMPUT  ,Theft
CSCR    ,Rape
DASLT1  ,DomesticAssault
DASLT2  ,DomesticAssault
DASLT3  ,DomesticAssault
DASTR   ,DomesticAssault
DISARM  ,Other
LOOT    ,Other
MURDR   ,Homicide
MVTHFT  ,Theft
NOPAY   ,Theft
ONLTHT  ,Theft
PETIT   ,Theft
POCKET  ,Theft
ROBBIZ  ,Robbery
ROBPAG  ,Robbery
ROBPER  ,Robbery
SCRAP   ,Theft
SHOPLF  ,Theft
TBLDG   ,Theft
TFMV    ,Theft
TFPER   ,Theft
THEFT   ,Theft
THFTSW  ,Theft
TMVP    ,Theft
